Kurzbezeichnung	Text	Hilfetext	Nummer	Typ	Einstellwert	Initial	Minimum	Maximum	Variablen_Typ	Passwort	Einheit	Vorkomma	Nachkomma	Not locked by access code	Not delete by P66 function	Bitfield	Non-Volatile	FW_Kommentar
T7	Testvariable 7	Testvariable 7	157	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
BUILDD	Build Datum	Firmware Erzeugungsdatum	158	Zahl	Istwert	0	0	0	ULONG	PW4	Without	8	0	Nein	Ja	Nein	Nein	leer
UDCMH	UDC Min Hysterese	Bestimmt das Schaltverhalten des Wechselrichters an der minimalen DC-Spannung, Wert der Hysterese	159	Zahl	Einstellwert	6	0	30	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UDCPKH	UDC Hysterese zu Netz Peak	Bestimmt das Schaltverhalten des Wechselrichters am Übergang zwischen Netzspannungs-Scheitelwert zur DC-Spannung, Wert der Hysterese	160	Zahl	Einstellwert	6	0	30	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
WZNOK	Netzüberprüfungszeit	Eine Netzuschaltung des Gerätes auf das Netz erfolgt erst nachdem die Netzuschaltbedingungen für mindestens die in diesem Parameter definierten Zeit anliegen.	161	Zahl	Einstellwert	30	0	3600	USHORT	PW3	Second	4	0	Nein	Nein	Nein	Ja	leer
BUILDT	Build Zeit	Firmware Erzeugungszeit	162	Zahl	Istwert	0	0	0	ULONG	PW4	Without	8	0	Nein	Ja	Nein	Nein	leer
UMPPMAX	Max MPP-Spannung	Maximalwert der möglichen MPP-Spannung	163	Zahl	Einstellwert	450	330	500	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
RSM	RS485 Master	Wert = 1: Dieser Wechselrichter ist der Daten-Master innerhalb eines Master-Slave-Datenverbundes	164	Zahl	Einstellwert	0	0	2	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
CO2G	CO2-Ersparnis Gesamt	CO2-Ersparnis der gesamten Anlage	197	Zahl	Istwert	0	0	0	ULONG	PW0	Kilogram	6	0	Nein	Nein	Nein	Nein	leer
PVE	Parameter Version	Version der Parameter	200	Zahl	Istwert	1	1	65535	USHORT	PW0	Without	6	0	Nein	Nein	Nein	Nein	leer
PVEA	Parameter Version Alt	Vorige Version der Parameter	201	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	6	0	Nein	Ja	Nein	Ja	leer
ESBWID	ES-Block-Write-Index Datalogger	leer	202	Zahl	Einstellwert	ES_GetStartBlockVariableEx(DatenloggerArea)	ES_GetStartBlockVariableEx(DatenloggerArea)	ES_GetEndblockEx(DatenloggerArea)	USHORT	PW4	Without	2	0	Nein	Nein	Nein	Ja	Enthält den Index des SPI-Datenblockes in dem der Eventspeicher (Datenloggerbreich) momentan arbeitet.
ESWID	ES-Write-Index Datalogger	leer	203	Zahl	Einstellwert	0	0	(ES_SEKTOR_SIZE - 1)	ULONG	PW4	Without	5	0	Nein	Nein	Nein	Ja	Gibt den Seek der Eventspeichers (Datenloggerbreich) im jeweiligen SPI-Datenblock an
MACL	MAC Adr Low	Untere 16 Bit der MAC-Adresse des Ethernet-Controllers	204	Zahl	Einstellwert	0x0002	0	65535	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
MACM	MAC Adr Middle	Mittlere 16 Bit der MAC-Adresse des Ethernet-Controllers	205	Zahl	Einstellwert	0xEC05	0	65535	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
MACH	MAC Adr High	Obere 16 Bit der MAC-Adresse des Ethernet-Controllers	206	Zahl	Einstellwert	0x0021	0	65535	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
FABD	Fabrikationsdatum	Fabrikationsdatum des Geräts	207	Zahl	Einstellwert	11	0	65535	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
PORT	SPP-Protokoll TCP-Port	Gibt die Portnummer des WR in SPP an	208	Zahl	Einstellwert	33330	1024	65535	USHORT	PW1	Without	5	0	Nein	Nein	Nein	Ja	leer
PACF	AC Leistung 20ms	leer	209	Zahl	Istwert	0	0	0	SHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
STZ	Start Zähler	Anzahl der Einspeisevorgänge	210	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
ESBWIWS	ES-Block-Write-Index WarnStoer	leer	211	Zahl	Einstellwert	ES_GetStartBlockVariableEx(Warn_StoerArea)	ES_GetStartBlockVariableEx(Warn_StoerArea)	ES_GetEndblockEx(Warn_StoerArea)	USHORT	PW4	Without	2	0	Nein	Nein	Nein	Ja	Enthält den Index des SPI-Datenblockes in dem der Eventspeicher (Warn- und Störspeicherbereich) momentan arbeitet.
ESWIWS	ES-Write-Index WarnStoer	leer	212	Zahl	Einstellwert	0	0	(ES_SEKTOR_SIZE - 1)	ULONG	PW4	Without	5	0	Nein	Nein	Nein	Ja	Gibt den Seek der Eventspeichers (Warn- und Störspeicherbereich) im jeweiligen SPI-Datenblock an
DHCP	DHCP aktiv	leer	213	Zahl	Einstellwert	DHCP_INACTIVE	DHCP_INACTIVE	DHCP_ACTIVE	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	Aktiviert den Bezug der IP über DHCP
DNS1HH	DNS Server HH	leer	214	Zahl	Einstellwert	192	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS1HL	DNS Server HL	leer	215	Zahl	Einstellwert	168	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS1LH	DNS Server LH	leer	216	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS1LL	DNS Server LL	leer	217	Zahl	Einstellwert	2	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS2HH	DNS Server2 HH	leer	218	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS2HL	DNS Server2 HL	leer	219	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS2LH	DNS Server2 LH	leer	220	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DNS2LL	DNS Server2 LL	leer	221	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
EHST	Statusbits Einschalthindernis	Alle aktiven Einschalthindernisse	222	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Nein	Nein	Ja	Nein	leer
WARNST	Statusbits Warnung	Alle aktiven Warnungen	223	Zahl	Istwert	0	0	0xFFFF	USHORT	PW0	Without	6	0	Nein	Nein	Ja	Nein	leer
SPIBV	Eventspeicher-Version	leer	224	Zahl	Istwert	0	0	255	USHORT	PW0	Without	3	0	Nein	Nein	Nein	Nein	leer
RSAPL	RS485 Adresse für SOLARLOG (ProLog)	RS485 Adresse für SOLARLOG (ProLog)	230	Zahl	Einstellwert	1	1	32	USHORT	PW1	Without	2	0	Nein	Nein	Nein	Ja	leer
SLOPEOFFSET	Offset für Rampe PAC EMS	leer	231	Zahl	Einstellwert	200	50	5300	USHORT	PW2	Watt	4	0	Nein	Nein	Nein	Ja	leer
PACSLOPEUP	Positive Rampe für Wirkleistung EMS	leer	232	Zahl	Einstellwert	600	1	2000	USHORT	PW2	Watt per second	4	0	Nein	Nein	Nein	Ja	leer
PACSLOPEDOWN	Negative Rampe für Wirkleistung EMS	leer	233	Zahl	Einstellwert	600	1	6000	USHORT	PW2	Watt per second	4	0	Nein	Nein	Nein	Ja	leer
IPV1	Strom PV 1	Strom des PV-Generators	234	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	2	2	Nein	Nein	Nein	Nein	leer
IPV2	Strom PV 2	Strom des PV-Generators	235	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	2	2	Nein	Nein	Nein	Nein	leer
IPVRAMP	IPV Startrampe	leer	236	Zahl	Einstellwert	1	1	400	USHORT	PW2	Without	3	0	Nein	Nein	Nein	Ja	leer
TPM	TestvariablePlusMinus	TestvariablePlusMinus	237	Zahl	Einstellwert	0	-100000	100000	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
EMSCTRL	EMS Steuerung	leer	238	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Nein	Steuerbits für das Energie-Management
IPVROFF	IPV Rampe Offset	leer	239	Zahl	Einstellwert	6	0	100	USHORT	PW2	Without	3	0	Nein	Nein	Nein	Ja	Beschleunigung der IPV-Rampe für Testmode und EMS-Steuerung
ILIMIT	Grund für aktuelle Begrenzung	leer	240	Zahl	Istwert	0	0	0	USHORT	PW0	Without	5	0	Nein	Nein	Ja	Nein	Zeigt die aktuell niedrigste Begrenzung für die Stromvorgabe an
STRAMP	Anlauframpe	leer	241	Zahl	Einstellwert	8	0	500	USHORT	PW2	Ampere per second	2	1	Nein	Nein	Nein	Ja	Anlauframpe in 0,1A/s
PMAXW	Wirkleistung Max	Maximale Wirkleistung 	242	Zahl	Einstellwert	4400	0	5400	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
PACNENN	Nennwirkleistung	leer	243	Zahl	Einstellwert	4000	0	5000	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	Auf diesen Wert bezieht sich Parameter 84
VSUPPLY1	Versorgungsspannung Elektronik 12V	Versorgungsspannung Elektronik 12V	244	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	2	2	Nein	Nein	Nein	Nein	leer
VSUPPLY2	Versorgungsspannung Elektronik 5V	Versorgungsspannung Elektronik 5V	245	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	2	2	Nein	Nein	Nein	Nein	leer
VSUPPLY3	Versorgungsspannung Elektronik 2,5V	Versorgungsspannung Elektronik 2,5V	246	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	2	2	Nein	Nein	Nein	Nein	leer
IACSMAX	Maximaler Scheinstrom	leer	247	Zahl	Einstellwert	1950	50	2200	USHORT	PW3	Ampere	2	2	Nein	Nein	Nein	Ja	Maximaler Gerätestrom für Wirk- und Blindleistung zusammen
CFGS	Spezialkonfiguration	Spezielle Konfiguration	248	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Ja	leer
LCODE	Ländercode	Länderspezifische Voreinstellungen	249	Zahl	Einstellwert	100	0	100	USHORT	PW3	Without	3	0	Nein	Nein	Nein	Ja	Wird bei 66:60 auf 100 gestellt
PCODE	Produktionscode	Produktionscode für OEM Kunden	250	Zahl	Einstellwert	0	0	3	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
FLS	File Lese Select	Bitweise Selektion einzelner Dateiblöcke	251	Zahl	Einstellwert	0x00000000	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Ja	Nein	Nein	Nein	leer
DDU	Differenzdatei Datum Uhrzeit	Bildung einer Differenzdatei mit Datum und Uhrzeit	252	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Ja	Nein	Nein	Nein	leer
SELFT	Selbst-Test	Betriebszustand: Selbsttest	253	Zahl	Einstellwert	0	0	1	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Nein	leer
WZNOKK	Wartezeit Netz kurz	Wartezeit Netz kurz	254	Zahl	Einstellwert	5	0	3600	USHORT	PW3	Second	3	0	Nein	Nein	Nein	Ja	leer
EJRT	Reparaturtool für Jahreslogger	Reparaturtool für den Jahreslogger	255	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW2	Without	9	0	Nein	Nein	Nein	Nein	leer
WRUZKRKP	KP UZK Regelung Wechselrichter	KP UZK Regelung Wechselrichter	256	Zahl	Einstellwert	16	1	100	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
WRUZKRTN	TN UZK Regelung Wechselrichter	TN UZK Regelung Wechselrichter	257	Zahl	Einstellwert	160	1	400	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
OWMAX	Offset-Grenzwert der Wandler	leer	258	Zahl	Einstellwert	20	0	1000	SHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
CFG1	Konfiguration allgemein	Bitweise Definition: Bit 0 = 1: S0-Leistung und Ertrag in P198 und P199 berücksichtigt	259	Zahl	Einstellwert	0	0	65535	USHORT	PW1	Without	5	0	Nein	Nein	Ja	Ja	leer
FN	File Transfer Nummer	Kommunikationsparameter SPP	260	Zahl	Einstellwert	0	0	FILES_MAX_FILE_NUMBER	USHORT	PW0	Without	2	0	Ja	Nein	Nein	Nein	leer
FL	File Transfer Länge	Kommunikationsparameter SPP	261	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
FLI	File Lese Inhalt	Kommunikationsparameter SPP	262	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	6	0	Nein	Nein	Nein	Nein	leer
FSI	File Schreibe Inhalt	Kommunikationsparameter SPP	263	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	6	0	Nein	Nein	Nein	Nein	leer
FI	File Lese Index	Kommunikationsparameter SPP	264	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW0	Without	5	0	Ja	Nein	Nein	Nein	leer
PA1	COM1 Protokollart	0 = Ascii-Protokoll (Hyperterminal); 1 = Solutronic-Protokoll; 2 = Debug-nicht benutze; 3 = Ascii-Protokoll über Modem; 4 = Solutronic-Protokoll über Modem; 5 = Großdisplay Rico; 6 = Großdisplay Schneider (auf Anfrage), 7 = Ascii-Protokoll über GSM-Modem	265	Zahl	Einstellwert	0	0	9	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
PA2	COM2 Protokollart	0 = Ascii-Protokoll (Hyperterminal); 1 = Solutronic-Protokoll; 2 = Debug-nicht benutzt 3 = Ascii-Protokoll über Modem; 4 = Solutronic-Protokoll über Modem; 5 = Großdisplay Rico; 6 = Großdisplay Schneider (auf Anfrage) , 7 = Ascii-Protokoll über GSM-Modem	266	Zahl	Einstellwert	0	0	9	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
AC1	Zugangscode 1	Lesen: 1 = Zugang gestattet. Erstmaliges Beschreiben setzt den Zugangscode 1. Erneuter Zugriff auf die Parametrierung ist dann nur möglich nach vorheriger Eingabe des Zugangs-Codes 1	267	Zahl	Einstellwert	0	0	999999	ULONG	PW1	Without	5	0	Ja	Nein	Nein	Ja	leer
UHSSSO	Hochsetzsteller Sollwert Offset	Offset für Sollwert des Hochsetzstellers	268	Zahl	Einstellwert	20	0	40	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Ja	leer
AC2	Zugangscode 2	Lesen: 1 = Zugang gestattet. Erstmaliges Beschreiben setzt den Zugangscode 2. Erneuter Zugriff auf die Parametrierung ist dann nur möglich nach vorheriger Eingabe des Zugangs-Codes 2	269	Zahl	Einstellwert	0	0	999999	ULONG	PW2	Without	5	0	Ja	Nein	Nein	Ja	leer
FLIL	Datei Inhalt lang	Kommunikationsparameter SPP	270	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DISP	Display Parameter	In Zeile3 des Grundbilds wird der eingestellte Parameter angezeigt.	271	Zahl	Einstellwert	0	0	(ANZAHL_PARAMETER - 1)	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
DCGN	Generator DC-Nennleistung	Die Nennleistung des PV-Generators wird hier dargestellt. Wert wird benötigt für die Ertragskontrolle	272	Zahl	Einstellwert	4600	0	6000	USHORT	PW1	Watt	5	0	Nein	Nein	Nein	Ja	leer
EKS	Ertragskontrolle Status	Wert = 1 startet die Ertragskontrolle, dargestellter Wert stellt den Ablauf des Einlesens und Errechnens der Ertragswerte der Slaves dar	273	Zahl	Einstellwert	0	0	65535	USHORT	PW1	Without	2	0	Nein	Nein	Nein	Nein	leer
DC1N	DC Nennleistung String 1	Die Nennleistung des PV-Generators für String 1 wird hier dargestellt. Wert wird benötigt für die Ertragskontrolle	274	Zahl	Einstellwert	2300	0	65535	USHORT	PW1	Watt	5	0	Nein	Nein	Nein	Ja	leer
DC2N	DC Nennleistung String 2	Die Nennleistung des PV-Generators für String 2 wird hier dargestellt. Wert wird benötigt für die Ertragskontrolle	275	Zahl	Einstellwert	2300	0	65535	USHORT	PW1	Watt	5	0	Nein	Nein	Nein	Ja	leer
HUPE	Hupe	Hupe-Funktion	276	Zahl	Einstellwert	0	0	3	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Nein	leer
EJLT	Tag Energie Jahreslogger	Kommunikationsparameter SPP	277	Zahl	Einstellwert	1	0	372	USHORT	PW0	Without	3	0	Ja	Nein	Nein	Nein	leer
EJLW	Wert Energie Jahreslogger	Kommunikationsparameter SPP	278	Zahl	Istwert	0	0	0	USHORT	PW0	Kilowatt hour	5	1	Ja	Nein	Nein	Nein	leer
CFGW	Konfiguration Warnung	Hier können bitweise die einzelnen Warn-Funktionen ein- oder ausgeschaltet werden	279	Zahl	Einstellwert	0x447	0	0xFFFF	USHORT	PW1	Without	5	0	Nein	Nein	Nein	Ja	leer
EAW	Ertragsabweichung	Wert wird für die Ertragskontrolle verwendet. Jeder Tages-Ertrag (auch der Sensor-Ertrag) wird auf die installierte DC-Nennleistung bezogen. Die Ertragskontrolle erzeugt eine Warnung bei Abweichungen größer als dieser Wert.	280	Zahl	Einstellwert	500	0	65535	USHORT	PW1	Kilowatt hour per Kilowatt-DC-Peak	2	3	Nein	Nein	Nein	Ja	leer
KPUPVR	UPV Regler Kp	UPV Regler Kp	281	Zahl	Einstellwert	16	1	200	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
TNUPVR	UPV Regler Tn	UPV Regler Tn	282	Zahl	Einstellwert	64	0	1000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
EAAT	Ertragsabweichung Anzahl Tage	Die Ertragskontrolle führt einen Ertragsabgleich über die eingestellte Anzahl von vergangenen Tagen durch	284	Zahl	Einstellwert	2	0	10	USHORT	PW1	Without	2	0	Nein	Nein	Nein	Ja	leer
UACPCM	Plausiblitätscheck UAC zu UAC2	Plausiblitätscheck UAC zu UAC2	285	Zahl	Einstellwert	10	0	100	SHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
ISOFIM	Isolations-Fehlerstrom Maximalwert	Maximaler Fehlerstrom der Isolationsmessung während der Einschaltprüfung 	286	Zahl	Einstellwert	25	0	1000	USHORT	PW3	uAmpere	4	0	Nein	Nein	Nein	Ja	leer
KPHSSUZK	KP HSS UZK Regler 	KP Hochsetzsteller UZK-Regler	287	Zahl	Einstellwert	8	1	200	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
TNHSSUZK	TN HSS UZK Regler	TN Hochsetzsteller UZK-Regler 	288	Zahl	Einstellwert	2	0	200	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
IPVF	IPV-Faktor	IPV-Faktor	289	Zahl	Einstellwert	2000	1000	3000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
BM40	Betriebsminuten unter 40°C	Gesamtzahl der Betriebsminuten des Geräts unter 40° C	290	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
BM50	Betriebsminuten unter 50°C	Gesamtzahl der Betriebsminuten des Geräts unter 50° C	291	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
BM55	Betriebsminuten unter 55°C	Gesamtzahl der Betriebsminuten des Geräts unter 55° C	292	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
BM60	Betriebsminuten unter 60°C	Gesamtzahl der Betriebsminuten des Geräts unter 60° C	293	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
BM65	Betriebsminuten unter 65°C	Gesamtzahl der Betriebsminuten des Geräts unter 65° C	294	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
BM70	Betriebsminuten unter 70°C	Gesamtzahl der Betriebsminuten des Geräts unter 70° C	295	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
EGK	Energie Gesamt Korrekturwert	Der Energie Gesamt-Wert wird um diesen Offset des S0-Zählers korrigiert. 	296	Zahl	Einstellwert	0	0	999999	ULONG	PW1	Kilowatt hour	6	0	Nein	Nein	Nein	Ja	leer
DDD	Differenz Datei Start-Datum	Kommunikationsparameter SPP	297	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	8	0	Ja	Nein	Nein	Nein	leer
KPIPVR	PV-Stromregler Kp	PV-Stromregler Kp	298	Zahl	Einstellwert	0	0	100	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
TNIPVR	PV-Stromregler Tn	PV-Stromregler Tn	299	Zahl	Einstellwert	2	2	100	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
LCDTIM	LCD Aktivzeit	leer	300	Zahl	Einstellwert	60	0	600	USHORT	PW1	Second	3	0	Nein	Nein	Nein	Ja	Dauer der LCD Aktivierung nach Tastendruck
LEDTIM	LCD-LED Aktivzeit	leer	301	Zahl	Einstellwert	60	0	600	USHORT	PW1	Second	3	0	Nein	Nein	Nein	Ja	Dauer der LCD-LED Aktivierung nach Tastendruck
TCQU	Zeitkonstante für Q(U)	leer	302	Zahl	Einstellwert	0	0	60	USHORT	PW3	Second	2	0	Nein	Nein	Nein	Ja	leer
MAT	Minimale Arbeitstemperatur	leer	304	Zahl	Einstellwert	-25	-50	0	SHORT	PW2	Degree celsius	2	0	Nein	Nein	Nein	Ja	leer
DCOFFSLOPE	Steigung DC Offset Kompensation	leer	307	Zahl	Einstellwert	640	0	2000	USHORT	PW4	Without	4	0	Nein	Nein	Nein	Ja	Steigung für DC-Offset-Kompensation * 1024
DCOFFSTART	DC Offset Kompensation Startwert	leer	308	Zahl	Einstellwert	76	-500	500	SHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	Startwert der Geraden für DC-Offset Kompensation bei 330V UZK
SGAIPV	Stromregler IPV	Stromregler IPV	309	Zahl	Einstellwert	1	0	10	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Ja	leer
NPH	Nummer Netzphase	Nummer der Netzphase	310	Zahl	Einstellwert	1	1	3	USHORT	PW3	Without	5	0	Nein	Nein	Nein	Ja	leer
ROCOFS	RoCoF Schwelle	leer	312	Zahl	Einstellwert	0	0	2000	USHORT	PW3	Hertz per second	1	3	Nein	Nein	Nein	Ja	Rate of Change of Freuquency, Inselnetzerkennung für GB
ROCOFT	RoCoF Dauer	leer	313	Zahl	Einstellwert	0	0	100	USHORT	PW3	Second	1	2	Nein	Nein	Nein	Ja	Rate of Change of Freuquency, Inselnetzerkennung für GB
TUACMAXL1	Abschaltzeit Überspannung Level 1	leer	314	Zahl	Einstellwert	1000	0	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Alternative Abschaltzeit über Fehelrzähler statt MWF
URM	Abweichung WR-UZK-Regler-Schwelle unten	Abweichung WR-UZK-Regler Schwelle nach unten für schnellere Regelung	315	Zahl	Einstellwert	7	1	100	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Ja	leer
URP	Abweichung WR-UZK-Regler-Schwelle oben	Abweichung WR-UZK-Regler Schwelle nach oben für schnellere Regelung	316	Zahl	Einstellwert	7	1	100	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Ja	leer
KPM	Beschleunigungsfaktor WR_UZK-Regler unten	Beschleunigungsfaktor WR_UZK-Regler nach unten	317	Zahl	Einstellwert	50	0	500	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
KPP	Beschleunigungsfaktor WR_UZK-Regler oben	Beschleunigungsfaktor WR_UZK-Regler nach oben	318	Zahl	Einstellwert	25	0	500	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
FES	Funktion Externe Störung	Einbindung von externen Störungen in den Betrieb des WR	319	Zahl	Einstellwert	0	0	65535	USHORT	PW1	Without	5	0	Nein	Nein	Nein	Ja	leer
SPIOFF	SPI Abschaltung	leer	320	Zahl	Einstellwert	0	0	2	USHORT	PW3	Without	1	0	Nein	Nein	Nein	Ja	CEI 0-21
SPIFREQ	SPI Frequenzauswahl	leer	321	Zahl	Einstellwert	0	0	2	USHORT	PW3	Without	1	0	Nein	Nein	Nein	Ja	CEI 0-21
SPIFMAX	SPI Frequenzsteigerung	leer	322	Zahl	Einstellwert	50	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	CEI 0-21
SPIFMIN	SPI Frequenzrückgang	leer	323	Zahl	Einstellwert	50	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	CEI 0-21
DIGIN	Digitale Eingänge	leer	324	Zahl	Istwert	0	0	0xFFFF	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	Zustand der digitalen Eingänge (CEI 0-21)
TUACMINS	Abschaltzeit Unterspannung Level 1	leer	325	Zahl	Einstellwert	1000	0	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Fehlerzähler-Überwachung für UACMin slow
FNENN	Netzfrequenz Nennwert	Frequenz auf die sich die Parameter 75,76,341,343 beziehen.	326	Zahl	Einstellwert	5000	4700	6300	USHORT	PW3	Hertz	2	2	Nein	Nein	Nein	Ja	leer
UHSSRP	Abweichung HSS-UZK-Regler Schwelle nach oben für schnellere Regelung	Abweichung HSS-UZK-Regler Schwelle nach oben für schnellere Regelung	327	Zahl	Einstellwert	10	1	40	USHORT	PW2	Without	2	0	Nein	Nein	Nein	Ja	leer
HSSKPP	Beschleunigungsfaktor HSS_UZK-Regler nach oben	Beschleunigungsfaktor HSS_UZK-Regler nach oben	328	Zahl	Einstellwert	200	0	2000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
RU	Reset-Ursache	Ursache für Reset	329	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
DFLROKMIN	Frequenzabweichung Aufhebung Leistungsred. min	leer	330	Zahl	Einstellwert	10	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
DPDHZ	Leistungsänderung pro Hertz	Vorgabe Leistungsreduktion mit der Frequenz	331	Zahl	Einstellwert	40	0	100	USHORT	PW3	Percent	2	0	Nein	Nein	Nein	Ja	leer
PBA	Betriebsart Leistungsreduktion	leer	332	Zahl	Einstellwert	1	0	2	USHORT	PW3	Without	1	0	Nein	Nein	Nein	Ja	leer
DFLROKMAX	Frequenzabweichung Aufhebung Leistungsred. max	leer	333	Zahl	Einstellwert	10	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
WZNOKL	Netzüberprüfungszeit lang	leer	334	Zahl	Einstellwert	300	0	3600	USHORT	PW3	Second	4	0	Nein	Nein	Nein	Ja	leer
UACNMAX	UAC N Max	UAC N Max	335	Zahl	Einstellwert	100	0	500	USHORT	PW3	Volt	3	1	Nein	Nein	Nein	Ja	leer
